approach,model,target,metric_type,MSE,RMSE,MAE,MAPE,SMAPE,R2,LOG_R2,accuracy,precision_macro,recall_macro,f1_macro,source_file,notes
Direct Aggregate Window Forecasting,SARIMA_LIGHT,job_count,,4.2174,2.0536,1.408,44.5811,136.621,-0.028,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,XGBoost,memory_request_sum,,271443.2436,521.0022,257.7398,89.2702,182.833,0.3249,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,memory_request_sum,,352192.3726,593.458,276.7929,89.9325,181.0187,0.1241,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA_LIGHT,memory_request_sum,,448379.7445,669.6116,329.3273,78.8572,167.7462,-0.1151,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,memory_request_sum,,473974.4503,688.458,315.3662,88.6011,184.7221,-0.1788,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary_5min.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,batch_count,,1.525,,0.6729,58.8374,,0.1371,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,batch_count,,1.8521,,0.8265,75.1184,,-0.048,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,batch_count,,4.5804,,2.0125,95.8478,,-1.5918,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,batch_count,,27.9938,,3.7765,280.7173,,-14.8403,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,cpu_request_sum,,243729.6942,,160.3272,158.2025,,-0.0573,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,cpu_request_sum,,227790.0632,,167.3371,252.1565,,0.0119,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,cpu_request_sum,,219748.1031,,192.4632,454.6656,,0.0468,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,cpu_request_sum,,230744.3821,,304.6603,915.9178,,-0.0009,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Prophet,duration_minutes_mean,,52693.0385,,150.028,8517.2899,,-5.7902,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,duration_minutes_mean,,27514.7414,,160.0828,7101.4877,,-2.5457,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,LSTM,duration_minutes_mean,,653442.3638,,802.813,31368.199,,-83.2052,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,duration_minutes_mean,,1444002.3724,,986.2276,38130.2549,,-185.0798,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
