job_id,arrival_offset_seconds,job_type,required_cpu,required_memory,expected_duration_seconds,role,app_name
pred_000083,1992.0,interactive,64.0,320.0,685.34,cn,app_87
pred_000084,2016.0,interactive,64.0,320.0,709.54,cn,app_87
pred_000085,2040.0,interactive,64.0,320.0,734.06,cn,app_87
pred_000086,2064.0,interactive,64.0,320.0,734.0,cn,app_87
pred_000087,2088.0,interactive,64.0,320.0,735.08,cn,app_87
pred_000088,2112.0,interactive,64.0,320.0,718.25,cn,app_87
pred_000089,2136.0,interactive,64.0,320.0,743.6,cn,app_87
pred_000090,2160.0,interactive,64.0,320.0,728.54,cn,app_87
pred_000091,2184.0,interactive,64.0,320.0,721.59,cn,app_87
pred_000092,2208.0,interactive,64.0,320.0,747.66,cn,app_87
pred_000093,2232.0,interactive,64.0,320.0,730.54,cn,app_87
pred_000094,2256.0,interactive,64.0,320.0,754.52,cn,app_87
pred_000095,2280.0,interactive,64.0,320.0,793.66,cn,app_87
pred_000096,2304.0,interactive,64.0,320.0,786.09,cn,app_87
pred_000097,2328.0,interactive,64.0,320.0,799.36,cn,app_87
pred_000098,2352.0,interactive,64.0,320.0,781.06,cn,app_87
pred_000099,2376.0,interactive,64.0,320.0,806.69,cn,app_87
pred_000100,2400.0,interactive,64.0,320.0,836.62,cn,app_87
pred_000101,2424.0,interactive,64.0,320.0,828.64,cn,app_87
pred_000102,2448.0,interactive,64.0,320.0,818.71,cn,app_87
pred_000103,2472.0,interactive,64.0,320.0,811.51,cn,app_87
pred_000104,2496.0,interactive,64.0,320.0,838.14,cn,app_87
pred_000105,2520.0,interactive,64.0,320.0,814.07,cn,app_87
pred_000106,2544.0,interactive,64.0,320.0,806.31,cn,app_87
pred_000107,2568.0,interactive,64.0,320.0,820.08,cn,app_87
pred_000108,2592.0,interactive,64.0,320.0,801.3,cn,app_87
pred_000109,2616.0,interactive,64.0,320.0,837.84,cn,app_87
pred_000110,2640.0,interactive,64.0,320.0,814.07,cn,app_87
pred_000111,2664.0,interactive,64.0,320.0,806.31,cn,app_87
pred_000112,2688.0,interactive,64.0,320.0,830.22,cn,app_87
pred_000113,2712.0,interactive,64.0,320.0,801.3,cn,app_87
pred_000114,2736.0,interactive,64.0,320.0,837.84,cn,app_87
pred_000115,2760.0,interactive,64.0,320.0,822.09,cn,app_87
pred_000116,2784.0,interactive,64.0,320.0,814.26,cn,app_87
pred_000117,2808.0,interactive,64.0,320.0,828.17,cn,app_87
pred_000118,2832.0,interactive,64.0,320.0,809.2,cn,app_87
pred_000119,2856.0,interactive,64.0,320.0,835.76,cn,app_87
pred_000120,2880.0,interactive,64.0,320.0,822.09,cn,app_87
pred_000121,2904.0,interactive,64.0,320.0,814.26,cn,app_87
pred_000122,2928.0,interactive,64.0,320.0,828.17,cn,app_87
pred_000123,2952.0,interactive,64.0,320.0,809.2,cn,app_87
pred_000124,2976.0,interactive,64.0,320.0,827.94,cn,app_87
pred_000125,3000.0,interactive,64.0,320.0,814.4,cn,app_87
pred_000126,3024.0,interactive,64.0,320.0,806.64,cn,app_87
pred_000127,3048.0,interactive,64.0,320.0,810.07,cn,app_87
pred_000128,3072.0,interactive,64.0,320.0,791.52,cn,app_87
pred_000129,3096.0,interactive,64.0,320.0,817.49,cn,app_87
pred_000130,3120.0,interactive,64.0,320.0,814.08,cn,app_87
pred_000131,3144.0,interactive,64.0,320.0,806.32,cn,app_87
pred_000132,3168.0,interactive,64.0,320.0,820.09,cn,app_87
pred_000133,3192.0,interactive,64.0,320.0,801.32,cn,app_87
pred_000134,3216.0,interactive,64.0,320.0,827.61,cn,app_87
pred_000135,3240.0,interactive,64.0,320.0,812.7,cn,app_87
pred_000136,3264.0,interactive,64.0,320.0,804.95,cn,app_87
pred_000137,3288.0,interactive,64.0,320.0,818.7,cn,app_87
pred_000138,3312.0,interactive,64.0,320.0,799.95,cn,app_87
pred_000139,3336.0,interactive,64.0,320.0,826.2,cn,app_87
pred_000140,3360.0,interactive,64.0,320.0,812.7,cn,app_87
pred_000141,3384.0,interactive,64.0,320.0,804.95,cn,app_87
pred_000142,3408.0,interactive,64.0,320.0,818.7,cn,app_87
pred_000143,3432.0,interactive,64.0,320.0,799.95,cn,app_87
pred_000144,3456.0,interactive,64.0,320.0,826.2,cn,app_87
pred_000145,3480.0,interactive,64.0,320.0,815.91,cn,app_87
pred_000146,3504.0,interactive,64.0,320.0,808.13,cn,app_87
pred_000147,3528.0,interactive,64.0,320.0,821.94,cn,app_87
pred_000148,3552.0,interactive,64.0,320.0,803.12,cn,app_87
pred_000149,3576.0,interactive,64.0,320.0,829.47,cn,app_87
pred_000150,3600.0,interactive,64.0,320.0,815.91,cn,app_87
pred_000151,3624.0,interactive,64.0,320.0,808.13,cn,app_87
pred_000152,3648.0,interactive,64.0,320.0,821.94,cn,app_87
pred_000153,3672.0,interactive,64.0,320.0,803.12,cn,app_87
