model,target,accuracy,precision_macro,recall_macro,f1_macro
xgb_role_encoded_classifier,role_encoded,0.7908187411263606,0.7703294562539391,0.7390217558705996,0.7500920485074227
xgb_app_name_encoded_classifier,app_name_encoded,0.061224489795918366,0.008416008950229802,0.01577933008375756,0.00670527668838537
xgb_job_type_encoded_classifier,job_type_encoded,0.7572172266919073,0.7843150571443984,0.765201916458649,0.7545073757469452
xgb_cpu_request_classifier,cpu_request,0.8963558920965452,0.937776419766891,0.8298104990221207,0.8591360084691869
xgb_memory_request_classifier,memory_request,0.8196955280685062,0.7273770381105257,0.5423637758171699,0.5750491479846203
xgb_interarrival_bucket_classifier,interarrival_bucket,0.4921911973497397,0.36716402219159006,0.3579093253166449,0.35244909067885155
