model,target,MSE,RMSE,MAE,R2
JobLevel_XGBoost,cpu_request,512.8851318359375,22.64696738717874,13.645730972290039,0.6253294348716736
JobLevel_XGBoost,memory_request,13801.54341300014,117.47997026302032,72.34267372529624,0.6042597215843055
JobLevel_XGBoost,duration_minutes,19975795.146221757,4469.4289507969315,1583.3767927847246,-0.053469777368915894
