forecast_freq,target,direct_best_model,direct_RMSE,direct_MAE,direct_MAPE,direct_SMAPE,direct_R2,two_stage_model,two_stage_RMSE,two_stage_MAE,two_stage_MAPE,two_stage_SMAPE,two_stage_R2,winner_by_RMSE
5min,batch_count,XGBoost,1.1607152959798253,0.6945517659187317,60.67767521015911,162.58993555843787,0.4033534526824951,TwoStage_XGBoost,1.3124491628445438,0.8667754191491339,44.11516534872976,142.74426671676517,0.2371647932523615,Direct aggregate forecast
5min,cpu_request_sum,XGBoost,96.82583429798062,49.14484786987305,83.9937512843235,174.88115927164048,0.4116486310958862,TwoStage_XGBoost,90.40381645567264,57.46312182479434,91.85449905326054,133.72096726081276,0.4871057689673478,Two-stage model
5min,duration_minutes_mean,SARIMA_LIGHT,2681.305884951903,690.4036895639924,1324.713004005567,169.3380518913398,-0.0457217360196826,TwoStage_XGBoost,2635.261437061568,760.2853094055547,4841.463890049636,162.84307698496784,-0.010115013525995,Two-stage model
5min,interactive_count,XGBoost,0.734770485731613,0.3510018289089203,71.42716401756483,183.13257088035888,0.3592174649238586,TwoStage_XGBoost,0.7013164890277696,0.3842822587272773,57.38300962805075,169.1021186352407,0.4162386731422084,Two-stage model
5min,job_count,XGBoost,1.3703383840206316,0.8501479029655457,54.74019445009331,146.65904824971153,0.5422646999359131,TwoStage_XGBoost,1.5744288141780285,1.1226126940713987,61.67997883764308,130.93111402888812,0.3957664712795248,Direct aggregate forecast
5min,memory_request_sum,XGBoost,521.0021531254822,257.7398013960984,89.27016447834006,182.83296673622803,0.3249112121079581,TwoStage_XGBoost,447.1871931065361,289.8499192661709,89.87252615922563,134.02254200464373,0.5026517733744945,Two-stage model
