model,target,metric_space,accuracy,mae,rmse,r2
XGBoost classifier,cpu_request,classification_discrete_values,0.848813209494324,5.3085655314757485,16.124899500490812,0.8434416333907886
XGBoost classifier,memory_request,classification_discrete_values,0.7786377708978328,26.99174406604747,80.52555696843953,0.8493165195057615
XGBoost log-regressor,duration_seconds,log_duration,,5808.910126055973,13124.514154703962,0.846576120154996
XGBoost log-regressor,duration_seconds,raw_duration_diagnostic,,5808.910126055973,13124.514154703962,0.31711248912892975
