scenario,slot,time,demand,served_load,active_servers,PIT_W,Pcool_W,Ptot_W,PUE,COP
high_energy_cost_50pct,0,00:00,0.0,1.3201999999998861,13,7.261257499995457,2.4388980976214363,11.200155597616893,1.5424539892193467,2.6756
high_energy_cost_50pct,1,00:15,0.0,1.2186,13,7.2320475,2.429072637912993,11.161120137912993,1.5432863428943178,2.6756
high_energy_cost_50pct,2,00:30,0.0,1.6248,12,6.76693,2.272619599342205,10.539549599342205,1.5575082939149962,2.6756
high_energy_cost_50pct,3,00:45,0.0,1.6248,12,6.76693,2.272619599342205,10.539549599342205,1.5575082939149962,2.6756
high_energy_cost_50pct,4,01:00,0.0,3.6559999999994943,12,7.350899999996978,2.469051427716133,11.31995142771311,1.5399408817583922,2.6756
high_energy_cost_50pct,5,01:15,0.0,4.265399999999545,12,7.526102499998823,2.5279848445204607,11.554087344519283,1.5352019646983404,2.6756
high_energy_cost_50pct,6,01:30,0.0,4.671599999999555,12,7.57513083999985,2.5441101768574788,11.619241016857329,1.5338667096682859,2.6756
high_energy_cost_50pct,7,01:45,0.0,3.655999999999608,12,7.3508999999998865,2.469051427717111,11.319951427716997,1.5399408817583116,2.6756
high_energy_cost_50pct,8,02:00,0.0,4.0621999999998355,12,7.399928339999914,2.4851767600537933,11.385105100053707,1.538542615137519,2.6756
high_energy_cost_50pct,9,02:15,0.0,4.062199999999887,12,7.39992833999992,2.485176760053794,11.385105100053714,1.5385426151375186,2.6756
high_energy_cost_50pct,10,02:30,0.0,5.382399999999267,14,8.943285839999788,3.00432078382412,13.447606623823908,1.5036538990711972,2.6756
high_energy_cost_50pct,11,02:45,0.0,5.788699999999697,14,9.077027289999817,3.049399392734278,13.626426682734095,1.501199263523903,2.6756
high_energy_cost_50pct,12,03:00,0.0,5.5854999999992,14,9.018607289999771,3.0297484733143207,13.548355763314092,1.5022669607021368,2.6756
high_energy_cost_50pct,13,03:15,0.0,6.304299999999401,15,9.739408129999829,3.271840037524237,14.511248167524066,1.4899517479738598,2.6756
high_energy_cost_50pct,14,03:30,0.0,6.405899999998908,15,9.768618129999686,3.28166549723416,14.550283627233846,1.489492519167019,2.6756
high_energy_cost_50pct,15,03:45,0.0,9.128599999999835,18,12.314024579999954,4.13796345881296,17.951988038812914,1.457848969050294,2.6756
high_energy_cost_50pct,16,04:00,0.0,8.03079999999892,18,11.99840707999969,4.031798206159262,17.530205286158953,1.461044384415019,2.6756
high_energy_cost_50pct,17,04:15,0.0,8.030799999998926,18,11.99840707999969,4.031798206159262,17.530205286158953,1.461044384415019,2.6756
high_energy_cost_50pct,18,04:30,0.0,8.132399999998889,18,12.02761707999968,4.041623665869233,17.569240745868914,1.4607416106623656,2.6756
high_energy_cost_50pct,19,04:45,0.0,8.691199999998908,18,12.188272079999686,4.095663694274078,17.783935774273765,1.4591022958419404,2.6756
high_energy_cost_50pct,20,05:00,0.0,9.14829999999899,18,12.319688329999709,4.139868592240896,17.959556922240605,1.45779312277789,2.6756
high_energy_cost_50pct,21,05:15,0.0,9.300699999998793,19,12.553079369999653,4.216303182687879,18.26938255268753,1.4553705918843431,2.6756
high_energy_cost_50pct,22,05:30,0.0,9.046699999998774,19,12.480054369999646,4.1917395334129495,18.171793903412595,1.4560668859820929,2.6756
high_energy_cost_50pct,23,05:45,0.0,9.22649999999866,19,12.531746869999614,4.209127502466609,18.240874372466223,1.4555731584503977,2.6756
high_energy_cost_50pct,24,06:00,0.0,9.124899999998718,19,12.502536869999629,4.19930204275664,18.20183891275627,1.4558516485108202,2.6756
high_energy_cost_50pct,25,06:15,0.0,9.613099999998951,19,12.642894369999695,4.246514537150446,18.38940890715014,1.4545252352013904,2.6756
high_energy_cost_50pct,26,06:30,0.0,9.613099999999406,19,12.642894370000539,4.246514537150729,18.389408907151267,1.4545252352013824,2.6756
high_energy_cost_50pct,27,06:45,0.0,9.74409999999881,19,12.680556870000368,4.259183190910575,18.439740060910943,1.454174311897582,2.6756
high_energy_cost_50pct,28,07:00,0.0,8.699199999998626,18,12.190572080000054,4.0964373525190805,17.787009432519135,1.4590791404860022,2.6756
high_energy_cost_50pct,29,07:15,0.0,9.617099999999908,18,12.4544683300003,4.185204965391048,18.139673295391347,1.4564791378285122,2.6756
high_energy_cost_50pct,30,07:30,0.0,9.507699999997811,18,12.42301582999909,4.174625188891907,18.097641018890997,1.4567832212842253,2.6756
high_energy_cost_50pct,31,07:45,0.0,9.8083999999985,18,12.509467079999181,4.203705068171354,18.213172148170536,1.45595108342311,2.6756
high_energy_cost_50pct,32,08:00,0.0,8.183599999998904,16,10.878537079999404,3.6551040067272673,16.03364108672667,1.4738784239845188,2.6756
