scenario,slot,time,demand,served_load,active_servers,PIT_W,Pcool_W,Ptot_W,PUE,COP
reduced_capacity_10pct,0,00:00,0.0,1.3202000000039789,11,6.780457499991828,2.2807638473585907,10.561221347350418,1.5575971602746788,2.6756
reduced_capacity_10pct,1,00:15,0.0,1.2186000000000248,11,6.751247500000007,2.2709383876513716,10.522185887651379,1.558554309799984,2.6756
reduced_capacity_10pct,2,00:30,0.0,1.624800000000025,11,6.868030000000007,2.310220885035135,10.678250885035142,1.5547763893045212,2.6756
reduced_capacity_10pct,3,00:45,0.0,1.624800000000025,11,6.868030000000007,2.310220885035135,10.678250885035142,1.5547763893045212,2.6756
reduced_capacity_10pct,4,01:00,0.0,3.6559999999997217,10,6.870099999978993,2.3109171774484585,10.681017177427451,1.554710583173478,2.6756
reduced_capacity_10pct,5,01:15,0.0,3.859199999999646,10,6.9285199999794616,2.33056809686856,10.759088096848021,1.552869602293118,2.6756
reduced_capacity_10pct,6,01:30,0.0,4.671599999999444,10,7.1620849999799585,2.4091330916362548,11.071218091616213,1.5458093685912961,2.6756
reduced_capacity_10pct,7,01:45,0.0,3.6560000000001764,10,6.870099999980692,2.3109171774490296,10.681017177429721,1.554710583173424,2.6756
reduced_capacity_10pct,8,02:00,0.0,4.062199999999621,10,6.986882499980794,2.3501996748328278,10.837082174813622,1.5510611742566747,2.6756
reduced_capacity_10pct,9,02:15,0.0,4.062199999999621,10,6.986882499981578,2.3501996748330916,10.83708217481467,1.5510611742566507,2.6756
reduced_capacity_10pct,10,02:30,0.0,4.976200000000404,10,7.249657499982589,2.438590129310932,11.188247629293521,1.543279476212551,2.6756
reduced_capacity_10pct,11,02:45,0.0,5.077799999999456,11,7.8607674999702875,2.6441511249713185,12.004918624941606,1.527194211632259,2.6756
reduced_capacity_10pct,12,03:00,0.0,5.737799999999311,12,8.632417499980189,2.903713466131773,13.036130966111962,1.5101367567245072,2.6756
reduced_capacity_10pct,13,03:15,0.0,5.593399999999633,12,8.590902499971387,2.8897489348087344,12.980651434780121,1.5109764585063508,2.6756
reduced_capacity_10pct,14,03:30,0.0,6.23409999999933,13,9.357003749983072,3.1474448254540164,14.004448575437088,1.496680876660162,2.6756
reduced_capacity_10pct,15,03:45,0.0,8.640199999999254,16,11.794457499983015,3.9673388211932696,17.261796321176284,1.4635515301319406,2.6756
reduced_capacity_10pct,16,04:00,0.0,8.6401999999988,17,12.376357499983964,4.163074357148144,18.039431857132108,1.4575719760160033,2.6756
reduced_capacity_10pct,17,04:15,0.0,8.030799999998976,17,12.201154999984015,4.104140940344452,17.805295940328467,1.4593123307057236,2.6756
reduced_capacity_10pct,18,04:30,0.0,8.132399999999393,17,12.230364999984134,4.113966400054464,17.844331400038598,1.4590187128562186,2.6756
reduced_capacity_10pct,19,04:45,0.0,9.351300000000208,18,13.162698749985415,4.427578440344925,19.09027719033034,1.450331543168645,2.6756
reduced_capacity_10pct,20,05:00,0.0,9.249799999999539,18,13.133517499985222,4.417762651362947,19.05128015134817,1.450584746346103,2.6756
reduced_capacity_10pct,21,05:15,0.0,9.452999999999008,18,13.191937499985071,4.437413570782839,19.12935107076791,1.4500789645788996,2.6756
reduced_capacity_10pct,22,05:30,0.0,9.148199999998212,18,13.104307499984841,4.407937191652849,19.01224469163769,1.4508393283399128,2.6756
reduced_capacity_10pct,23,05:45,0.0,9.22640000000041,18,13.126789999985474,4.41549970099676,19.042289700982234,1.4506432799643558,2.6756
reduced_capacity_10pct,24,06:00,0.0,9.124899999999059,18,13.097608750205772,4.4056839120889535,19.003292662294726,1.4508978718726937,2.6756
reduced_capacity_10pct,25,06:15,0.0,9.73419999749018,18,13.272782499495454,4.464607657925663,19.237390157421117,1.4493863783387093,2.6756
reduced_capacity_10pct,26,06:30,0.0,9.632599999998604,18,13.243572500278061,4.454782198478954,19.198354698757015,1.449635640107979,2.6756
reduced_capacity_10pct,27,06:45,0.0,9.763599999999826,18,13.281235001083756,4.467450852509865,19.24868585359362,1.4493144539662854,2.6756
reduced_capacity_10pct,28,07:00,0.0,9.835799999998528,18,13.30199249861138,4.474433117338258,19.276425615949638,1.4491382112839066,2.6756
reduced_capacity_10pct,29,07:15,0.0,9.281199999998819,18,13.14254499999443,4.4207992599771995,19.06334425997163,1.450506295392537,2.6756
reduced_capacity_10pct,30,07:30,0.0,9.355399999999488,18,12.774806139995848,4.295047485870933,18.56985362586678,1.4536309531717728,2.6756
reduced_capacity_10pct,31,07:45,0.0,9.402200000005703,18,12.788261139998157,4.299573386604257,18.587834526602414,1.4535075819232992,2.6756
reduced_capacity_10pct,32,08:00,0.0,8.183599999996911,16,11.274113639994404,3.7902548225425967,16.564368462537,1.4692390897831347,2.6756
reduced_capacity_10pct,33,08:15,0.0,7.574199999999362,15,10.517011139994585,3.5355858697843967,15.552597009778982,1.47880389235634,2.6756
reduced_capacity_10pct,34,08:30,0.0,7.347599999999854,14,9.869963639994728,3.317936464043676,14.687900104038404,1.4881412576354993,2.6756
reduced_capacity_10pct,35,08:45,0.0,6.738200000000031,13,9.112861140701558,3.0632675115231756,13.676128652224733,1.500750251876643,2.6756
reduced_capacity_10pct,36,09:00,0.0,5.644399999999248,12,8.216493640058355,2.761753551821096,12.47824719187945,1.5186827542887051,2.6756
reduced_capacity_10pct,37,09:15,0.0,5.136499999999241,12,8.070472389223973,2.712635923718633,12.283108312942606,1.5219813315195176,2.6756
reduced_capacity_10pct,38,09:30,0.0,4.7302999999993425,11,7.371789889994582,2.4776178906395296,11.349407780634111,1.5395728784997225,2.6756
reduced_capacity_10pct,39,09:45,0.0,4.550499999999342,11,7.320097389994581,2.46022992158586,11.280327311580441,1.5410078186936242,2.6756
reduced_capacity_10pct,40,10:00,0.0,4.550499999999797,11,7.320097389994713,2.4602299215859045,11.280327311580617,1.5410078186936205,2.6756
reduced_capacity_10pct,41,10:15,0.0,4.44889999999938,10,6.7089873899945935,2.25466892592134,10.463656315915934,1.5596476349800332,2.6756
reduced_capacity_10pct,42,10:30,0.0,4.65199999999933,10,6.767378639994578,2.274310174613217,10.541688814607795,1.5577211466057765,2.6756
reduced_capacity_10pct,43,10:45,0.0,4.86299999999957,10,6.828041142998264,2.2947154118322777,10.622756554830541,1.5557546201553758,2.6756
reduced_capacity_10pct,44,11:00,0.0,4.132599999999848,11,6.810879776991108,2.286888493680671,10.597768270671779,1.556005775711054,2.6756
reduced_capacity_10pct,45,11:15,0.0,4.65199999999933,11,7.007778639994054,2.353377299743853,10.861155939737907,1.549871435400694,2.6756
reduced_capacity_10pct,46,11:30,0.0,4.280999999999772,11,6.85354477999575,2.3012398551338693,10.65478463512962,1.5546385085611458,2.6756
reduced_capacity_10pct,47,11:45,0.0,3.8747999999998735,11,6.7367622799936875,2.2619573577494094,10.498719637743097,1.558422162070551,2.6756
reduced_capacity_10pct,48,12:00,0.0,3.870999999999463,11,6.7356697799956615,2.261589870083756,10.497259650079418,1.5584581775750561,2.6756
reduced_capacity_10pct,49,12:15,0.0,4.761599999999299,11,6.991717281561355,2.3477173747216415,10.839434656282997,1.5503250803445514,2.6756
reduced_capacity_10pct,50,12:30,0.0,5.093799999999356,11,7.0872247784272755,2.3798435322860474,10.967068310713323,1.5474418624474646,2.6756
reduced_capacity_10pct,51,12:45,0.0,5.093799999999356,11,7.087224779994062,2.379843532813074,10.967068312807136,1.5474418624008035,2.6756
reduced_capacity_10pct,52,13:00,0.0,5.093799999999356,11,7.087224779995631,2.3798435328136014,10.967068312809232,1.5474418624007567,2.6756
reduced_capacity_10pct,53,13:15,0.0,5.734599999999028,12,7.853354779993967,2.6375490941824546,11.990903874176421,1.5268511623494532,2.6756
reduced_capacity_10pct,54,13:30,0.0,6.730699999999779,13,8.721633530884526,2.929614752652144,13.15124828353667,1.5078881997238542,2.6756
reduced_capacity_10pct,55,13:45,0.0,6.652499996903026,13,8.699151029104133,2.9220522427095688,13.121203271813702,1.5083314714177305,2.6756
reduced_capacity_10pct,56,14:00,0.0,6.957299999999855,13,8.786781029995772,2.951528622139408,13.23830965213518,1.5066165421606676,2.6756
reduced_capacity_10pct,57,14:15,0.0,7.39079999999904,14,9.493312279995546,3.1891867642383005,14.182499044233847,1.4939463304203557,2.6756
